Index,Species,Type1,Type2,Ability1,Ability2,Ability3,level,base_experience,HP,Attack,Defence,Sp.Attack,Sp.Defence,Speed,Total,Weight,Height,Seed Type,Egg Type1,Egg Type2,Moves
435,Skuntank,Poison,Dark,Stench,Aftermath,Keen Eye,50,168,103,93,67,71,61,84,479,83.8 lbs.,"3'03""",Skunk Pokémon,Field,NULL,"scratch, cut, headbutt, tackle, body-slam, take-down, double-edge, bite, roar, flamethrower, hyper-beam, strength, fire-spin, dig, toxic, screech, double-team, smokescreen, haze, focus-energy, fire-blast, swift, poison-gas, explosion, fury-swipes, rest, super-fang, slash, substitute, thief, snore, protect, scary-face, sludge-bomb, mud-slap, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, torment, memento, facade, taunt, helping-hand, knock-off, endeavor, snatch, secret-power, poison-tail, natural-gift, feint, payback, assurance, sucker-punch, toxic-spikes, poison-jab, dark-pulse, night-slash, giga-impact, nasty-plot, shadow-claw, defog, gunk-shot, captivate, hone-claws, venoshock, sludge-wave, acid-spray, foul-play, round, hex, incinerate, tail-slap, snarl, belch, play-rough, confide, venom-drench, throat-chop, burning-jealousy, lash-out, corrosive-gas, tera-blast, trailblaze, temper-flare"
436,Bronzor,Steel,Psychic,Levitate,Heatproof,Heavy Metal,50,60,57,24,86,24,86,23,300,133.4 lbs.,"1'08""",Bronze Pokémon,Mineral,NULL,"tackle, body-slam, take-down, solar-beam, earthquake, toxic, confusion, psychic, hypnosis, double-team, confuse-ray, light-screen, reflect, dream-eater, flash, psywave, rest, rock-slide, substitute, snore, protect, feint-attack, sandstorm, endure, rollout, swagger, sleep-talk, return, frustration, safeguard, hidden-power, rain-dance, sunny-day, psych-up, ancient-power, shadow-ball, future-sight, facade, helping-hand, trick, recycle, skill-swap, imprison, secret-power, rock-tomb, metal-sound, signal-beam, extrasensory, iron-defense, calm-mind, rock-blast, gravity, gyro-ball, natural-gift, payback, heal-block, power-swap, guard-swap, rock-polish, power-gem, zen-headbutt, flash-cannon, trick-room, iron-head, stealth-rock, grass-knot, charge-beam, wonder-room, psyshock, telekinesis, heavy-slam, round, stored-power, ally-switch, hex, bulldoze, confide, psychic-terrain, speed-swap, stomping-tantrum, steel-beam, expanding-force, steel-roller, tera-blast, ice-spinner"
437,Bronzong,Steel,Psychic,Levitate,Heatproof,Heavy Metal,50,175,67,89,116,79,116,33,500,412.3 lbs.,"4'03""",Bronze Bell Pokémon,Mineral,NULL,"tackle, body-slam, take-down, psybeam, hyper-beam, strength, solar-beam, earthquake, toxic, confusion, psychic, hypnosis, night-shade, double-team, confuse-ray, light-screen, reflect, dream-eater, flash, psywave, explosion, rest, rock-slide, substitute, snore, protect, feint-attack, sandstorm, endure, rollout, swagger, sleep-talk, return, frustration, safeguard, hidden-power, rain-dance, sunny-day, psych-up, ancient-power, shadow-ball, future-sight, rock-smash, facade, helping-hand, trick, recycle, skill-swap, imprison, secret-power, weather-ball, rock-tomb, metal-sound, signal-beam, extrasensory, iron-defense, block, calm-mind, rock-blast, gravity, gyro-ball, natural-gift, payback, heal-block, power-swap, guard-swap, rock-polish, power-gem, giga-impact, zen-headbutt, flash-cannon, trick-room, iron-head, stealth-rock, grass-knot, charge-beam, wonder-room, psyshock, telekinesis, heavy-slam, round, stored-power, ally-switch, hex, bulldoze, confide, psychic-terrain, speed-swap, stomping-tantrum, body-press, steel-beam, expanding-force, steel-roller, meteor-beam, tera-blast, ice-spinner, hard-press, psychic-noise"
438,Bonsly,Rock,NULL,Sturdy,Rock Head,Rattled,50,58,50,80,95,10,45,10,290,33.1 lbs.,"1'08""",Bonsai Pokémon,Undiscovered,NULL,"slam, headbutt, tackle, body-slam, take-down, double-edge, low-kick, counter, rock-throw, earthquake, dig, toxic, mimic, double-team, harden, defense-curl, self-destruct, explosion, rest, rock-slide, substitute, thief, snore, curse, flail, protect, feint-attack, mud-slap, spikes, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, hidden-power, sunny-day, psych-up, uproar, facade, nature-power, helping-hand, role-play, brick-break, secret-power, fake-tears, rock-tomb, sand-tomb, iron-defense, block, mud-shot, covet, calm-mind, rock-blast, natural-gift, copycat, sucker-punch, rock-polish, power-gem, earth-power, stone-edge, captivate, stealth-rock, grass-knot, head-smash, smack-down, foul-play, after-you, round, bulldoze, confide, stomping-tantrum, tearful-look, tera-blast, trailblaze"
439,Mime Jr.,Psychic,Fairy,Soundproof,Filter,Technician,100,78,20,25,45,70,90,60,310,28.7 lbs.,"2'00""",Mime Pokémon,Undiscovered,NULL,"Encore,Copycat,Psychic / Dazzling Gleam,Toxic / Substitute"
440,Happiny,Normal,NULL,Natural Cure,Serene Grace,Friend Guard,50,110,100,5,5,15,65,30,220,53.8 lbs.,"2'00""",Playhouse Pokémon,Undiscovered,NULL,"pound, headbutt, tackle, take-down, double-edge, flamethrower, counter, seismic-toss, solar-beam, thunder-wave, toxic, psychic, double-team, minimize, defense-curl, light-screen, metronome, fire-blast, soft-boiled, dream-eater, flash, rest, substitute, snore, protect, sweet-kiss, mud-slap, icy-wind, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, hail, facade, helping-hand, recycle, endeavor, refresh, secret-power, hyper-voice, aromatherapy, covet, calm-mind, shock-wave, water-pulse, gravity, natural-gift, fling, copycat, last-resort, drain-punch, mud-bomb, zen-headbutt, captivate, grass-knot, round, echoed-voice, stored-power, incinerate, work-up, disarming-voice, draining-kiss, fairy-wind, confide, baby-doll-eyes, tera-blast, snowscape"
441,Chatot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,50,144,76,65,45,92,42,91,411,4.2 lbs.,"1'08""",Music Note Pokémon,Flying,NULL,"gust, fly, fury-attack, growl, sing, supersonic, peck, toxic, agility, night-shade, mimic, double-team, mirror-move, swift, sky-attack, rest, substitute, thief, snore, protect, mud-slap, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, encore, hidden-power, twister, rain-dance, sunny-day, uproar, heat-wave, torment, facade, taunt, role-play, secret-power, feather-dance, hyper-voice, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, air-slash, nasty-plot, defog, captivate, chatter, ominous-wind, synchronoise, round, echoed-voice, work-up, hurricane, parting-shot, play-rough, boomburst, confide"
442,Spiritomb,Ghost,NULL,Pressure,NULL,Infiltrator,50,170,50,92,108,92,108,35,485,238.1 lbs.,"3'03""",Forbidden Pokémon,Amorphous,NULL,"body-slam, disable, psybeam, hyper-beam, toxic, psychic, hypnosis, night-shade, double-team, smokescreen, confuse-ray, dream-eater, flash, rest, substitute, thief, nightmare, snore, curse, spite, protect, scary-face, feint-attack, destiny-bond, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, pain-split, pursuit, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, torment, will-o-wisp, memento, facade, taunt, helping-hand, trick, skill-swap, imprison, grudge, snatch, secret-power, rock-tomb, silver-wind, extrasensory, calm-mind, shock-wave, water-pulse, natural-gift, payback, embargo, sucker-punch, dark-pulse, giga-impact, nasty-plot, shadow-sneak, trick-room, captivate, ominous-wind, wonder-room, psyshock, telekinesis, foul-play, round, stored-power, ally-switch, hex, quash, retaliate, snarl, phantom-force, confide, infestation, burning-jealousy, lash-out, poltergeist, tera-blast"
443,Gible,Dragon,Ground,Sand Veil,NULL,Rough Skin,50,60,58,70,45,40,45,42,300,45.2 lbs.,"2'04""",Land Shark Pokémon,Monster,Dragon,"swords-dance, cut, sand-attack, headbutt, tackle, body-slam, take-down, thrash, double-edge, bite, roar, flamethrower, strength, dragon-rage, earthquake, dig, toxic, double-team, fire-blast, swift, rest, rock-slide, slash, substitute, snore, protect, scary-face, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, metal-claw, hidden-power, twister, rain-dance, sunny-day, rock-smash, facade, helping-hand, secret-power, rock-tomb, sand-tomb, aerial-ace, dragon-claw, mud-shot, natural-gift, dragon-pulse, dragon-rush, earth-power, shadow-claw, thunder-fang, fire-fang, rock-climb, draco-meteor, iron-head, stone-edge, captivate, stealth-rock, hone-claws, round, incinerate, bulldoze, dragon-tail, confide, scale-shot, scorching-sands, tera-blast, dragon-cheer"
444,Gabite,Dragon,Ground,Sand Veil,NULL,Rough Skin,50,144,68,90,65,50,55,82,410,123.5 lbs.,"4'07""",Cave Pokémon,Monster,Dragon,"swords-dance, cut, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, bite, roar, flamethrower, strength, dragon-rage, earthquake, dig, toxic, double-team, fire-blast, swift, rest, rock-slide, slash, substitute, snore, protect, scary-face, mud-slap, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, metal-claw, hidden-power, twister, rain-dance, sunny-day, crunch, rock-smash, facade, helping-hand, secret-power, rock-tomb, sand-tomb, aerial-ace, dragon-claw, mud-shot, natural-gift, dragon-pulse, dragon-rush, power-gem, earth-power, shadow-claw, thunder-fang, fire-fang, rock-climb, draco-meteor, iron-head, stone-edge, captivate, stealth-rock, hone-claws, round, incinerate, bulldoze, dragon-tail, dual-chop, confide, laser-focus, breaking-swipe, scale-shot, scorching-sands, tera-blast, dragon-cheer"
445,Garchomp,Dragon,Ground,Sand Veil,NULL,Rough Skin,50,300,108,130,95,80,85,102,600,209.4 lbs.,"6'03""",Mach Pokémon,Monster,Dragon,"swords-dance, cut, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, bite, roar, flamethrower, surf, hyper-beam, strength, dragon-rage, earthquake, dig, toxic, double-team, fire-blast, swift, rest, rock-slide, slash, substitute, snore, protect, scary-face, mud-slap, spikes, outrage, sandstorm, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, metal-claw, hidden-power, twister, rain-dance, sunny-day, crunch, rock-smash, whirlpool, facade, helping-hand, brick-break, secret-power, rock-tomb, sand-tomb, aerial-ace, dragon-claw, mud-shot, natural-gift, fling, poison-jab, aqua-tail, dragon-pulse, dragon-rush, power-gem, earth-power, giga-impact, shadow-claw, thunder-fang, fire-fang, rock-climb, draco-meteor, iron-head, stone-edge, captivate, stealth-rock, hone-claws, round, incinerate, bulldoze, dragon-tail, dual-chop, confide, laser-focus, brutal-swing, stomping-tantrum, liquidation, breaking-swipe, scale-shot, scorching-sands, tera-blast, dragon-cheer"
446,Munchlax,Normal,NULL,Pickup,Thick Fat,Gluttony,50,78,135,85,40,40,85,5,390,231.5 lbs.,"2'00""",Big Eater Pokémon,Undiscovered,NULL,"mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, whirlwind, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, bite, flamethrower, hydro-pump, surf, ice-beam, blizzard, counter, strength, solar-beam, thunderbolt, thunder, earthquake, fissure, dig, toxic, psychic, screech, double-team, defense-curl, metronome, self-destruct, lick, fire-blast, amnesia, rest, rock-slide, substitute, snore, curse, flail, protect, belly-drum, mud-slap, icy-wind, sandstorm, endure, charm, rollout, swagger, attract, sleep-talk, return, frustration, encore, pursuit, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, whirlpool, uproar, stockpile, swallow, facade, focus-punch, helping-hand, superpower, recycle, brick-break, snatch, secret-power, hyper-voice, odor-sleuth, rock-tomb, covet, shock-wave, water-pulse, natural-gift, fling, last-resort, seed-bomb, giga-impact, zen-headbutt, rock-climb, gunk-shot, captivate, after-you, round, chip-away, incinerate, retaliate, bulldoze, work-up, belch, confide, power-up-punch, high-horsepower, stomping-tantrum, tera-blast, trailblaze, chilling-water"
447,Riolu,Fighting,NULL,Steadfast,Inner Focus,Prankster,50,57,40,70,40,35,40,60,285,44.5 lbs.,"2'04""",Emanation Pokémon,Undiscovered,NULL,"mega-punch, ice-punch, thunder-punch, swords-dance, mega-kick, headbutt, take-down, bite, roar, low-kick, counter, strength, earthquake, dig, toxic, agility, quick-attack, screech, double-team, swift, high-jump-kick, rest, rock-slide, substitute, mind-reader, snore, reversal, protect, mud-slap, foresight, detect, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, iron-tail, metal-claw, hidden-power, cross-chop, rain-dance, sunny-day, crunch, psych-up, rock-smash, facade, focus-punch, follow-me, helping-hand, role-play, revenge, brick-break, secret-power, blaze-kick, meteor-mash, rock-tomb, sky-uppercut, aerial-ace, iron-defense, howl, bulk-up, natural-gift, feint, close-combat, payback, fling, copycat, magnet-rise, force-palm, aura-sphere, poison-jab, drain-punch, vacuum-wave, focus-blast, nasty-plot, bullet-punch, shadow-claw, zen-headbutt, captivate, low-sweep, round, quick-guard, circle-throw, retaliate, final-gambit, bulldoze, work-up, dual-chop, confide, power-up-punch, laser-focus, coaching, tera-blast, trailblaze, upper-hand"
448,Lucario,Fighting,Steel,Steadfast,Inner Focus,Justified,50,184,70,110,70,115,70,90,525,119.0 lbs.,"3'11""",Aura Pokémon,Field,Human-Like,"mega-punch, ice-punch, thunder-punch, swords-dance, mega-kick, headbutt, body-slam, take-down, bite, roar, hyper-beam, low-kick, counter, strength, earthquake, dig, toxic, psychic, agility, quick-attack, screech, double-team, focus-energy, metronome, swift, rest, rock-slide, substitute, snore, reversal, protect, mach-punch, scary-face, mud-slap, foresight, detect, bone-rush, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, iron-tail, metal-claw, hidden-power, rain-dance, sunny-day, crunch, psych-up, extreme-speed, shadow-ball, rock-smash, facade, focus-punch, helping-hand, role-play, revenge, brick-break, secret-power, blaze-kick, meteor-mash, rock-tomb, metal-sound, aerial-ace, iron-defense, bulk-up, calm-mind, water-pulse, natural-gift, feint, close-combat, payback, fling, me-first, copycat, magnet-rise, force-palm, aura-sphere, poison-jab, dark-pulse, dragon-pulse, drain-punch, vacuum-wave, focus-blast, giga-impact, nasty-plot, bullet-punch, shadow-claw, zen-headbutt, flash-cannon, rock-climb, stone-edge, captivate, hone-claws, low-sweep, round, quick-guard, heal-pulse, retaliate, final-gambit, bulldoze, work-up, dual-chop, confide, power-up-punch, laser-focus, life-dew, steel-beam, terrain-pulse, coaching, tera-blast, trailblaze, upper-hand"
449,Hippopotas,Ground,NULL,Sand Stream,NULL,Sand Force,50,66,68,72,78,38,42,32,330,109.1 lbs.,"2'07""",Hippo Pokémon,Field,NULL,"whirlwind, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, bite, roar, strength, earthquake, fissure, dig, toxic, double-team, amnesia, rest, rock-slide, substitute, snore, curse, protect, mud-slap, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, sunny-day, crunch, rock-smash, stockpile, spit-up, swallow, facade, helping-hand, superpower, revenge, yawn, secret-power, slack-off, weather-ball, rock-tomb, sand-tomb, muddy-water, mud-shot, water-pulse, natural-gift, earth-power, thunder-fang, ice-fang, fire-fang, mud-bomb, stone-edge, captivate, stealth-rock, round, bulldoze, confide, high-horsepower, stomping-tantrum, body-press, scorching-sands, tera-blast"
450,Hippowdon,Ground,NULL,Sand Stream,NULL,Sand Force,50,184,108,112,118,68,72,47,525,661.4 lbs.,"6'07""",Heavyweight Pokémon,Field,NULL,"sand-attack, headbutt, tackle, body-slam, take-down, double-edge, bite, roar, hyper-beam, strength, earthquake, fissure, dig, toxic, double-team, amnesia, rest, rock-slide, substitute, snore, curse, protect, mud-slap, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, sunny-day, crunch, rock-smash, facade, helping-hand, superpower, revenge, yawn, secret-power, slack-off, hyper-voice, weather-ball, rock-tomb, sand-tomb, muddy-water, mud-shot, water-pulse, natural-gift, earth-power, giga-impact, thunder-fang, ice-fang, fire-fang, mud-bomb, iron-head, stone-edge, captivate, stealth-rock, heavy-slam, round, bulldoze, confide, high-horsepower, stomping-tantrum, body-press, scorching-sands, tera-blast, hard-press"
451,Skorupi,Poison,Bug,Battle Armor,Sniper,Keen Eye,50,66,40,50,90,30,55,65,330,26.5 lbs.,"2'07""",Scorpion Pokémon,Bug,Water 3,"swords-dance, cut, whirlwind, sand-attack, headbutt, poison-sting, twineedle, pin-missile, leer, bite, strength, dig, toxic, agility, screech, double-team, confuse-ray, flash, rest, slash, substitute, thief, snore, protect, scary-face, feint-attack, sludge-bomb, mud-slap, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, torment, facade, taunt, brick-break, knock-off, secret-power, poison-fang, rock-tomb, aerial-ace, poison-tail, natural-gift, acupressure, payback, assurance, fling, toxic-spikes, poison-jab, dark-pulse, night-slash, aqua-tail, x-scissor, bug-buzz, cross-poison, captivate, bug-bite, hone-claws, venoshock, round, struggle-bug, fell-stinger, confide, infestation, skitter-smack"
452,Drapion,Poison,Dark,Battle Armor,Sniper,Keen Eye,50,175,70,90,110,60,75,95,500,135.6 lbs.,"4'03""",Ogre Scorpion Pokémon,Bug,Water 3,"swords-dance, cut, headbutt, poison-sting, pin-missile, leer, bite, roar, hyper-beam, strength, earthquake, dig, toxic, agility, screech, double-team, leech-life, flash, rest, rock-slide, substitute, thief, snore, protect, scary-face, sludge-bomb, mud-slap, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, torment, facade, taunt, brick-break, knock-off, secret-power, poison-fang, rock-tomb, sand-tomb, aerial-ace, iron-defense, natural-gift, acupressure, payback, assurance, fling, toxic-spikes, poison-jab, dark-pulse, night-slash, aqua-tail, x-scissor, bug-buzz, giga-impact, thunder-fang, ice-fang, fire-fang, rock-climb, cross-poison, captivate, bug-bite, hone-claws, venoshock, round, retaliate, struggle-bug, bulldoze, snarl, fell-stinger, confide, venom-drench, infestation, throat-chop, brutal-swing, stomping-tantrum, skitter-smack, lash-out"
453,Croagunk,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,50,60,48,61,40,61,40,50,300,50.7 lbs.,"2'04""",Toxic Mouth Pokémon,Human-Like,NULL,"mega-punch, ice-punch, thunder-punch, mega-kick, headbutt, take-down, poison-sting, low-kick, counter, strength, earthquake, dig, toxic, meditate, screech, double-team, rest, rock-slide, super-fang, substitute, thief, snore, reversal, spite, protect, scary-face, feint-attack, sludge-bomb, mud-slap, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, baton-pass, encore, pursuit, hidden-power, cross-chop, rain-dance, sunny-day, shadow-ball, rock-smash, fake-out, torment, flatter, facade, focus-punch, smelling-salts, taunt, helping-hand, role-play, revenge, brick-break, knock-off, snatch, secret-power, astonish, rock-tomb, aerial-ace, bulk-up, bounce, mud-shot, wake-up-slap, natural-gift, feint, acupressure, close-combat, payback, assurance, embargo, fling, me-first, sucker-punch, poison-jab, dark-pulse, x-scissor, drain-punch, vacuum-wave, focus-blast, earth-power, nasty-plot, bullet-punch, shadow-claw, mud-bomb, rock-climb, gunk-shot, captivate, venoshock, sludge-wave, low-sweep, acid-spray, foul-play, round, quick-guard, retaliate, bulldoze, work-up, dual-chop, belch, confide, venom-drench, power-up-punch, lash-out, coaching, tera-blast, chilling-water, upper-hand"
454,Toxicroak,Poison,Fighting,Anticipation,Dry Skin,Poison Touch,50,172,83,106,65,86,65,85,490,97.9 lbs.,"4'03""",Toxic Mouth Pokémon,Human-Like,NULL,"mega-punch, ice-punch, thunder-punch, swords-dance, cut, mega-kick, headbutt, take-down, poison-sting, hyper-beam, low-kick, strength, earthquake, dig, toxic, screech, double-team, rest, rock-slide, super-fang, substitute, thief, snore, reversal, spite, protect, scary-face, feint-attack, sludge-bomb, mud-slap, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, baton-pass, encore, pursuit, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, torment, flatter, facade, focus-punch, taunt, helping-hand, role-play, revenge, brick-break, knock-off, snatch, secret-power, astonish, rock-tomb, aerial-ace, bulk-up, bounce, mud-shot, natural-gift, close-combat, payback, assurance, embargo, fling, sucker-punch, poison-jab, dark-pulse, x-scissor, drain-punch, vacuum-wave, focus-blast, earth-power, giga-impact, nasty-plot, shadow-claw, mud-bomb, rock-climb, cross-poison, gunk-shot, stone-edge, captivate, venoshock, sludge-wave, low-sweep, acid-spray, foul-play, round, retaliate, bulldoze, work-up, dual-chop, belch, confide, venom-drench, power-up-punch, throat-chop, lash-out, corrosive-gas, coaching, tera-blast, chilling-water, upper-hand"
455,Carnivine,Grass,NULL,Levitate,NULL,NULL,50,159,74,100,72,90,72,46,454,59.5 lbs.,"4'07""",Bug Catcher Pokémon,Grass,NULL,"swords-dance, cut, bind, slam, vine-whip, bite, hyper-beam, absorb, leech-seed, growth, razor-leaf, solar-beam, stun-spore, sleep-powder, toxic, double-team, flash, rest, substitute, thief, snore, protect, feint-attack, sludge-bomb, mud-slap, giga-drain, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, sweet-scent, synthesis, hidden-power, sunny-day, crunch, stockpile, spit-up, swallow, facade, nature-power, ingrain, knock-off, secret-power, grass-whistle, bullet-seed, magical-leaf, natural-gift, payback, fling, wring-out, gastro-acid, worry-seed, seed-bomb, energy-ball, giga-impact, defog, power-whip, captivate, grass-knot, bug-bite, rage-powder, acid-spray, round, leaf-tornado, confide, infestation, throat-chop"
456,Finneon,Water,NULL,Swift Swim,Storm Drain,Water Veil,50,66,49,49,56,49,61,66,330,15.4 lbs.,"1'04""",Wing Fish Pokémon,Water 2,NULL,"pound, gust, take-down, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, aurora-beam, toxic, agility, double-team, confuse-ray, waterfall, swift, bubble, flash, splash, rest, substitute, thief, snore, flail, protect, sweet-kiss, icy-wind, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, hidden-power, twister, rain-dance, psych-up, whirlpool, hail, facade, nature-power, helping-hand, secret-power, dive, air-cutter, silver-wind, tickle, signal-beam, bounce, water-pulse, roost, brine, natural-gift, tailwind, u-turn, payback, aqua-ring, aqua-tail, air-slash, defog, captivate, ominous-wind, soak, round, scald, acrobatics, confide, dazzling-gleam, flip-turn, tera-blast, chilling-water, alluring-voice"
457,Lumineon,Water,NULL,Swift Swim,Storm Drain,Water Veil,50,161,69,69,76,69,86,91,460,52.9 lbs.,"3'11""",Neon Pokémon,Water 2,NULL,"pound, gust, take-down, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, hyper-beam, toxic, agility, double-team, confuse-ray, waterfall, swift, bubble, flash, rest, substitute, thief, snore, flail, protect, icy-wind, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, encore, hidden-power, twister, rain-dance, psych-up, whirlpool, hail, facade, helping-hand, secret-power, dive, air-cutter, silver-wind, signal-beam, bounce, water-pulse, roost, brine, natural-gift, tailwind, u-turn, payback, aqua-ring, aqua-tail, air-slash, giga-impact, defog, captivate, ominous-wind, soak, round, scald, acrobatics, confide, dazzling-gleam, flip-turn, tera-blast, chilling-water, alluring-voice"
458,Mantyke,Water,Flying,Swift Swim,Water Absorb,Water Veil,50,69,45,20,50,60,120,50,345,143.3 lbs.,"3'03""",Kite Pokémon,Undiscovered,NULL,"wing-attack, slam, headbutt, tackle, take-down, double-edge, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, earthquake, toxic, agility, double-team, confuse-ray, haze, waterfall, swift, amnesia, bubble, splash, rest, rock-slide, substitute, snore, protect, mud-slap, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, mirror-coat, whirlpool, hail, facade, helping-hand, secret-power, dive, mud-sport, air-cutter, signal-beam, aerial-ace, bounce, water-sport, water-pulse, roost, natural-gift, tailwind, aqua-ring, air-slash, captivate, wide-guard, round, scald, acrobatics, bulldoze, confide"
459,Snover,Grass,Ice,Snow Warning,NULL,Soundproof,50,67,60,62,50,62,60,40,334,111.3 lbs.,"3'03""",Frost Tree Pokémon,Monster,Grass,"mega-punch, ice-punch, swords-dance, stomp, headbutt, body-slam, take-down, double-edge, leer, mist, ice-beam, blizzard, leech-seed, growth, razor-leaf, solar-beam, toxic, double-team, light-screen, skull-bash, flash, rest, substitute, snore, curse, powder-snow, protect, mud-slap, icy-wind, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, iron-tail, synthesis, hidden-power, rain-dance, shadow-ball, hail, facade, helping-hand, role-play, ingrain, secret-power, weather-ball, grass-whistle, sheer-cold, bullet-seed, icicle-spear, magical-leaf, water-pulse, natural-gift, worry-seed, seed-bomb, energy-ball, avalanche, ice-shard, leaf-storm, captivate, grass-knot, wood-hammer, round, frost-breath, icicle-crash, confide, leafage, grassy-glide, tera-blast, ice-spinner, snowscape, trailblaze, chilling-water"
460,Abomasnow,Grass,Ice,Snow Warning,NULL,Soundproof,50,173,90,92,75,92,85,60,494,298.7 lbs.,"7'03""",Frost Tree Pokémon,Monster,Grass,"mega-punch, ice-punch, swords-dance, mega-kick, headbutt, body-slam, take-down, double-edge, leer, mist, ice-beam, blizzard, hyper-beam, low-kick, strength, razor-leaf, solar-beam, earthquake, toxic, double-team, light-screen, flash, rest, rock-slide, substitute, snore, curse, powder-snow, protect, scary-face, mud-slap, icy-wind, outrage, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, iron-tail, synthesis, hidden-power, rain-dance, shadow-ball, rock-smash, hail, facade, focus-punch, helping-hand, role-play, ingrain, brick-break, secret-power, weather-ball, rock-tomb, grass-whistle, sheer-cold, bullet-seed, icicle-spear, block, magical-leaf, water-pulse, natural-gift, fling, worry-seed, seed-bomb, focus-blast, energy-ball, earth-power, giga-impact, avalanche, ice-shard, rock-climb, leaf-storm, captivate, grass-knot, wood-hammer, round, bulldoze, frost-breath, icicle-crash, confide, leafage, aurora-veil, stomping-tantrum, body-press, grassy-glide, tera-blast, ice-spinner, snowscape, trailblaze, chilling-water, hard-press"
461,Weavile,Dark,Ice,Pressure,NULL,Pickpocket,50,179,70,120,65,45,85,125,510,75.0 lbs.,"3'07""",Sharp Claw Pokémon,Field,NULL,"mega-punch, ice-punch, scratch, swords-dance, cut, mega-kick, headbutt, take-down, leer, surf, ice-beam, blizzard, hyper-beam, low-kick, strength, dig, toxic, agility, quick-attack, screech, double-team, reflect, metronome, swift, dream-eater, fury-swipes, rest, slash, substitute, thief, snore, spite, protect, scary-face, feint-attack, mud-slap, icy-wind, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, baton-pass, iron-tail, metal-claw, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, whirlpool, beat-up, hail, torment, facade, focus-punch, taunt, helping-hand, revenge, brick-break, knock-off, snatch, secret-power, fake-tears, aerial-ace, icicle-spear, calm-mind, water-pulse, natural-gift, payback, assurance, embargo, fling, punishment, poison-jab, dark-pulse, night-slash, x-scissor, focus-blast, giga-impact, nasty-plot, avalanche, ice-shard, shadow-claw, psycho-cut, captivate, hone-claws, low-sweep, foul-play, round, retaliate, snarl, confide, power-up-punch, laser-focus, throat-chop, lash-out, triple-axel, tera-blast, ice-spinner, snowscape, trailblaze, chilling-water, upper-hand"
